AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,230,6.1,3.139,0.81,,,33.78,70260,2.1,19.9,23.56,31.06,42.72,50.77,41400,49000,64610,88850,105600,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,49-2011,"Computer, Automated Teller, and Office Machine Repairers",detailed,130,4.9,1.741,3.41,,,24.41,50770,1.3,17.52,22.5,22.5,28.91,28.91,36440,46800,46800,60140,60140,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",detailed,60,12.2,0.837,0.8,,,28.51,59300,4.3,21.2,22.9,28.38,34.42,37.88,44100,47640,59020,71600,78790,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,49-3021,Automotive Body and Related Repairers,detailed,70,7.8,0.946,0.95,,,25.34,52720,3.8,14.62,18.12,22.62,28.54,39.47,30420,37680,47040,59360,82090,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,49-3023,Automotive Service Technicians and Mechanics,detailed,320,2.9,4.376,0.98,,,22.39,46580,2,13.19,16.45,21.95,27.06,31,27440,34210,45650,56280,64490,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detailed,100,9.5,1.379,0.73,,,25.77,53590,3.4,18.93,22.07,25.38,28.25,32.95,39360,45900,52790,58760,68540,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detailed,50,4.9,0.698,0.6,,,29.43,61210,1.9,24.71,25.49,30.25,32.57,37.83,51400,53030,62920,67750,78680,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",detailed,40,17.5,0.523,1.66,,,25.63,53300,10.2,15.11,18.35,19.19,31.2,43.5,31430,38170,39910,64900,90490,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detailed,200,5.9,2.796,1.07,,,30.95,64380,1.1,19.44,23.44,29.08,43.5,43.61,40430,48760,60480,90470,90700,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,49-9041,Industrial Machinery Mechanics,detailed,140,7.7,1.858,0.68,,,27.5,57190,1.7,18.3,22.3,26.15,34.13,37.17,38070,46380,54400,70990,77320,,
